"UNITID","ADM_RATE","HIGHDEG","PREDDEG","WOMENONLY","UGDS","UGDS_WOMEN","SATMT25","SATMT75","SATMTMID","PCIP42","PCIP45","PCIP26","PCIP11","PCIP29","PCIP41","PCIP40","PCIP27","PCIP14","PCIP15","WOMEN_TOTAL","ENG_DEG_PCNT","MATH_DEG_PCNT","SCIENCE_DEG_PCNT","TECH_DEG_PCNT","STEM_DEG_PCNT","STEM_DEG_TOTAL","STEM_DEG_WOMEN","MN_EARN_WNE_MALE0_P6","COUNT_WNE_MALE0_P6"
"114813",0.6662,"4",3,0,2605,0.6879,559,560,500,0.079,0.0118,0.0168,0,0,0,0.0034,0.0151,0,0,1792,0,0.0151,0.111,0,0.1261,328,164,30700,518
"115728",0.5706,"4",3,0,690,0.6261,508,500,448,0.1393,0.1045,0.0398,0,0,0,0,0,0,0,432,0,0,0.2836,0,0.2836,196,98,46400,140
"115755",0.7655,"4",3,0,7962,0.5412,545,540,485,0.0647,0.0929,0.1031,0.0084,0,0,0.0348,0.0132,0.0318,0,4309,0.0318,0.0132,0.2955,0.0084,0.3489,2778,1389,26700,1010
"117104",0.6633,"4",3,0,479,0.5344,507,488,441,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,22000,79
"117140",0.4656,"4",3,0,5137,0.5733,585,550,510,0.0779,0.0989,0.0195,0.0146,0,0,0.0065,0.0024,0,0.0081,2945,0.0081,0.0024,0.2028,0.0146,0.2279,1171,586,37600,952
"117627",0.4064,"4",3,0,2054,0.5798,510,550,475,0.0533,0.016,0.1253,0.0053,0,0,0.008,0,0,0,1191,0,0,0.2026,0.0053,0.2079,427,214,36300,219
"117751",0.7588,"4",3,0,1182,0.4526,605,590,540,0,0.02,0.06,0.024,0,0,0,0.004,0,0,535,0,0.004,0.08,0.024,0.108,128,64,29200,157
"117946",0.5271,"4",3,0,6064,0.574,660,660,610,0.0646,0.1305,0.0684,0.0051,0,0,0.0089,0.0095,0.05,0,3481,0.05,0.0095,0.2724,0.0051,0.337,2044,1022,45600,744
"118693",0.4506,"3",3,0,793,0.4086,570,560,509,0.1321,0,0,0,0,0,0,0,0,0,324,0,0,0.1321,0,0.1321,105,52,36200,107
"119173",0.783,"4",3,1,2659,0.9334,510,510,455,0.073,0.1328,0.0482,0,0,0,0.0015,0.0029,0,0,2482,0,0.0029,0.2555,0,0.2584,687,687,51300,642
